Country,Country of birth diversity index,
AUS,5.5,
AUT,3.5,
BEL,2.9,
CAN,4.5,
CHE,5.3,
CHL,0.7,
COL,,
CRI,,
CZE,0.7,
DEU,,
DNK,2.1,
ESP,2.2,
EST,2.8,
FIN,1.2,
FRA,2.2,
GBR,2.6,
GRC,1.2,
HUN,0.8,
IRL,3.1,
ISL,,
ISR,6.5,
ITA,1.8,
JPN,,
KOR,0.2,"주석) 본래 공백이었으나, 결측치 제거시 오직 일본과 동일 문화권을 공유하고 있어서, 결측치 제거가 안되는 문제점이 있음."
LTU,,"이를 해결하기 위해 폴란드가 98%의 단일민족국가임을 차용, 한국은 96%이므로 0.2로 값을 임의로 추가함."
LUX,,
LVA,2.3,
MEX,0.3,
NLD,2.1,
NOR,2.7,
NZL,,
POL,0.1,
PRT,1.3,
SVK,0.2,
SVN,1.9,
SWE,3.2,
TUR,,
USA,2.8,
